lat,lon,street,postcode,housenumber,city,state,country
40.4638669,-79.8898013,Oberlin Street,15206,1420, , , 
40.4637666,-79.8897909,Oberlin Street,15206,1416, , , 
40.4621864,-79.8901747,Oberlin Street,15206,1315, , , 
40.4623922,-79.8901719,Oberlin Street,15206,1323, , , 
40.4624845,-79.8901942,Oberlin Street,15206,1327, , , 
40.4626241,-79.8902062,Oberlin Street,15206,1331, , , 
40.4628136,-79.8901748,Oberlin Street,15206,1339, , , 
40.4636484,-79.8902121,Oberlin Street,15206,1411, , , 
40.463764,-79.8901996,Oberlin Street,15206,1415, , , 
40.463859,-79.8902141,Oberlin Street,15206,1419, , , 
40.4639941,-79.8898139,Oberlin Street,15206,1424, , , 
40.4640516,-79.8902346,Oberlin Street,15206,1425, , , 
40.4641064,-79.8898283,Oberlin Street,15206,1428, , , 
40.4643007,-79.8898319,Oberlin Street,15206,1434, , , 
40.4643695,-79.8902404,Oberlin Street,15206,1437, , , 
40.4644455,-79.8898268,Oberlin Street,15206,1440, , , 
40.4645158,-79.8902407,Oberlin Street,15206,1443, , , 
40.4645163,-79.8898449,Oberlin Street,15206,1442, , , 
40.4647283,-79.8898455,Oberlin Street,15206,1502, , , 
40.4648504,-79.8898206,Oberlin Street,15206,1454, , , 
40.4649885,-79.8898369,Oberlin Street,15206,1460, , , 
40.4655199,-79.8902582,Oberlin Street,15206,1503, , , 
40.4655695,-79.8898629,Oberlin Street,15206,1504, , , 
40.4656469,-79.8902356,Oberlin Street,15206,1507, , , 
40.4659535,-79.8902446,Oberlin Street,15206,1517, , , 
40.4661935,-79.8902583,Oberlin Street,15206,1527, , , 
40.4665853,-79.8898735,Oberlin Street,15206,1540, , , 
40.4666769,-79.8899066,Oberlin Street,15206,1542, , , 
40.4668605,-79.8899265,Oberlin Street,15206,1550, , , 
40.4669566,-79.8899292,Oberlin Street,15206,1554, , , 
