lat,lon,street,postcode,housenumber,city,state,country
40.4668355,-79.8993007,Olivant Street,15206,1300, , , 
40.4669338,-79.8993434,Olivant Street,15206,1302, , , 
40.466962,-79.8997304,Olivant Street,15206,1301, , , 
40.4670865,-79.8992645,Olivant Street,15206,1306, , , 
40.4671085,-79.8996463,Olivant Street,15206,1305, , , 
40.4671823,-79.8996206,Olivant Street,15206,1307, , , 
40.4673871,-79.8994941,Olivant Street,15206,1317, , , 
40.4675127,-79.8994262,Olivant Street,15206,1321, , , 
40.4675819,-79.8989967,Olivant Street,15206,1320, , , 
40.4676326,-79.8993582,Olivant Street,15206,1325, , , 
40.4679748,-79.8988345,Olivant Street,15206,1332, , , 
40.4681059,-79.8988757,Olivant Street,15206,1336, , , 
40.4690879,-79.8990727,Olivant Street,15206,1418, , , 
40.4700799,-79.8992409,Olivant Street,15206,1509, , , 
40.4701852,-79.8993662,Olivant Street,15206,1511, , , 
40.4701143,-79.8996487,Olivant Street,15206,1510, , , 
40.4712658,-79.9031369,Olivant Street,15206,6412, , , 
40.4713119,-79.9026498,Olivant Street,15206,6420, , , 
40.4710918,-79.9024544,Olivant Street,15206,6424, , , 
40.4712492,-79.9023016,Olivant Street,15206,6428, , , 
40.4719526,-79.9048717,Olivant Street,15206,6200, , , 
40.4722562,-79.9045805,Olivant Street,15206,6525, , , 
