lat,lon,street,postcode,housenumber,city,state,country
40.4618357,-79.9148807,Paulson Avenue,15206,215, , , 
40.4618706,-79.9148126,Paulson Avenue,15206,217, , , 
40.4619091,-79.9147537,Paulson Avenue,15206,219, , , 
40.4691359,-79.8999357,Paulson Avenue,15206,1326, , , 
40.4691723,-79.8998534,Paulson Avenue,15206,1328, , , 
40.4692379,-79.8996919,Paulson Avenue,15206,1332, , , 
40.4693754,-79.8992081,Paulson Avenue,15206,1340, , , 
40.4693815,-79.8991162,Paulson Avenue,15206,1342, , , 
40.4694386,-79.8989555,Paulson Avenue,15206,1346, , , 
40.4695,-79.8986925,Paulson Avenue,15206,1354, , , 
40.4695354,-79.8985459,Paulson Avenue,15206,1358, , , 
40.4695452,-79.8982553,Paulson Avenue,15206,1370, , , 
40.4696432,-79.8980923,Paulson Avenue,15206,1374, , , 
40.4696634,-79.8980103,Paulson Avenue,15206,1376, , , 
40.4697085,-79.8992924,Paulson Avenue,15206,1343, , , 
40.4697287,-79.8977513,Paulson Avenue,15206,1382, , , 
40.4697545,-79.8992144,Paulson Avenue,15206,1345, , , 
40.4697691,-79.8991214,Paulson Avenue,15206,1347, , , 
40.4698357,-79.8987575,Paulson Avenue,15206,1359, , , 
40.4698589,-79.8988089,Paulson Avenue,15206,1357, , , 
40.469865,-79.8990593,Paulson Avenue,15206,1349, , , 
40.4698836,-79.8987065,Paulson Avenue,15206,1361, , , 
40.4699246,-79.8985241,Paulson Avenue,15206,1367, , , 
40.4699279,-79.8983466,Paulson Avenue,15206,1373, , , 
40.4699309,-79.8984351,Paulson Avenue,15206,1369, , , 
40.4699761,-79.8982676,Paulson Avenue,15206,1375, , , 
40.4699858,-79.8981273,Paulson Avenue,15206,1379, , , 
40.469412,-79.8990402,Paulson Avenue,15206,1344, , , 
40.4695156,-79.8998626,Paulson Avenue,15206,1327, , , 
40.469492,-79.8999531,Paulson Avenue,15206,1335, , , 
40.4672409,-79.905867,Paulson Avenue,15206,1101, , , 
40.4672756,-79.9049775,Paulson Avenue,15206,1116, , , 
40.4673008,-79.9049108,Paulson Avenue,15206,1118, , , 
40.4673268,-79.904853,Paulson Avenue,15206,1118, , , 
40.4673279,-79.9048552,Paulson Avenue,15206,5, , , 
40.467347,-79.9047864,Paulson Avenue,15206,1120, , , 
40.4673757,-79.9056343,Paulson Avenue,15206,1107, , , 
40.4674324,-79.9043879,Paulson Avenue,15206,1124, , , 
40.4674638,-79.9043558,Paulson Avenue,15206,5, , , 
40.4674675,-79.9043488,Paulson Avenue,15206,1126, , , 
40.4677813,-79.9045846,Paulson Avenue,15206,1143, , , 
40.4679582,-79.9040671,Paulson Avenue,15206,1159, , , 
40.4679822,-79.904015,Paulson Avenue,15206,1161, , , 
40.4679946,-79.903968,Paulson Avenue,15206,1163, , , 
40.4680078,-79.9030099,Paulson Avenue,15206,1210, , , 
40.4680143,-79.9038989,Paulson Avenue,15206,1165, , , 
40.4680693,-79.9043522,Paulson Avenue,15206,1151, , , 
40.4681198,-79.9027039,Paulson Avenue,15206,1216, , , 
40.4681527,-79.9026158,Paulson Avenue,15206,1218, , , 
40.468217,-79.9022609,Paulson Avenue,15206,1226, , , 
40.4683407,-79.9020462,Paulson Avenue,15206,1236, , , 
40.4683595,-79.9029974,Paulson Avenue,15206,1213, , , 
40.4683746,-79.9019373,Paulson Avenue,15206,1240, , , 
40.4681805,-79.9025405,Paulson Avenue,15206,1220, , , 
40.468694,-79.9026565,Paulson Avenue,15206,1223, , , 
40.4686144,-79.9023872,Paulson Avenue,15206,1229, , , 
40.4686103,-79.9022842,Paulson Avenue,15206,1231, , , 
40.4686748,-79.9021374,Paulson Avenue,15206,1235, , , 
40.4688109,-79.9019056,Paulson Avenue,15206,1243, , , 
40.4689224,-79.9015949,Paulson Avenue,15206,1251, , , 
40.4689534,-79.9015678,Paulson Avenue,15206,1255, , , 
40.4686092,-79.9014148,Paulson Avenue,15206,1250, , , 
40.4689512,-79.9014078,Paulson Avenue,15206,1257, , , 
40.4686512,-79.9013277,Paulson Avenue,15206,1252, , , 
40.4686188,-79.901162,Paulson Avenue,15206,1300, , , 
40.4691141,-79.9010204,Paulson Avenue,15206,1305, , , 
40.4691628,-79.9008076,Paulson Avenue,15206,1311, , , 
40.4691839,-79.9007512,Paulson Avenue,15206,1313, , , 
40.4692377,-79.900631,Paulson Avenue,15206,1315, , , 
40.469283,-79.9004825,Paulson Avenue,15206,1321, , , 
40.4692937,-79.9004573,Paulson Avenue,15206,1323, , , 
40.4694106,-79.9002097,Paulson Avenue,15206,1329, , , 
40.4694351,-79.9001192,Paulson Avenue,15206,1331, , , 
40.4687471,-79.902075,Paulson Avenue,15206,1241, , , 
40.4690711,-79.9011743,Paulson Avenue,15206,1301, , , 
40.4641926,-79.9106573,Paulson Avenue,15206,548, , , 
40.4642353,-79.9106073,Paulson Avenue,15206,550, , , 
40.4646229,-79.9107286,Paulson Avenue,15206,549, , , 
40.46475,-79.9098799,Paulson Avenue,15206,610, , , 
40.4648225,-79.909746,Paulson Avenue,15206,614, , , 
40.464961,-79.910138,Paulson Avenue,15206,611, , , 
40.4649947,-79.9100995,Paulson Avenue,15206,613, , , 
40.4650095,-79.9094802,Paulson Avenue,15206,622, , , 
40.4655208,-79.9086392,Paulson Avenue,15206,648, , , 
40.4656473,-79.9091591,Paulson Avenue,15206,647, , , 
40.4656556,-79.9094815,Paulson Avenue,15206,637, , , 
40.4657947,-79.9089014,Paulson Avenue,15206,657, , , 
40.4654693,-79.9088108,Paulson Avenue,15206,644, , , 
40.4655875,-79.9085974,Paulson Avenue,15206,650, , , 
40.465697,-79.9090568,Paulson Avenue,15206,651, , , 
40.4658311,-79.908845,Paulson Avenue,15206,659, , , 
40.462552,-79.913723,Paulson Avenue,15206,303, , , 
40.4626559,-79.9135886,Paulson Avenue,15206,307, , , 
40.4623012,-79.913556,Paulson Avenue,15206,300, , , 
40.462753,-79.9134929,Paulson Avenue,15206,309, , , 
40.4631171,-79.9129772,Paulson Avenue,15206,401, , , 
40.4627277,-79.9125987,Paulson Avenue,15206,404, , , 
40.4630587,-79.9124296,Paulson Avenue,15206,412, , , 
40.4630949,-79.9123707,Paulson Avenue,15206,418, , , 
40.4635683,-79.9116058,Paulson Avenue,15206,5, , , 
40.4636758,-79.9114374,Paulson Avenue,15206,5, , , 
40.4632764,-79.9120512,Paulson Avenue,15206,502, , , 
40.4636078,-79.9122132,Paulson Avenue,15206,505, , , 
40.4632481,-79.9120805,Paulson Avenue,15206,508, , , 
40.4634339,-79.9118071,Paulson Avenue,15206,514, , , 
40.4635647,-79.9116118,Paulson Avenue,15206,522, , , 
40.4635863,-79.9115719,Paulson Avenue,15206,524, , , 
40.4636202,-79.9115194,Paulson Avenue,15206,524, , , 
40.463952,-79.9117129,Paulson Avenue,15206,525, , , 
40.4637241,-79.9113681,Paulson Avenue,15206,528, , , 
40.4637468,-79.911325,Paulson Avenue,15206,530, , , 
