lat,lon,street,postcode,housenumber,city,state,country
40.4743075,-80.0021747,Penfort Street,15214,174, , , 
40.4743248,-80.0019614,Penfort Street,15214,180, , , 
40.4745894,-80.0018703,Penfort Street,15214,202, , , 
40.4743342,-80.0018179,Penfort Street,15214,184, , , 
40.4745922,-80.001793,Penfort Street,15214,204, , , 
40.4745873,-80.0017375,Penfort Street,15214,206, , , 
40.4743388,-80.001694,Penfort Street,15214,188, , , 
40.4745848,-80.0016799,Penfort Street,15214,208, , , 
40.4745821,-80.0016104,Penfort Street,15214,210, , , 
40.474582,-80.0015457,Penfort Street,15214,212, , , 
40.4748041,-80.0014442,Penfort Street,15214,224, , , 
40.4747947,-80.0013784,Penfort Street,15214,226, , , 
40.4750668,-80.0013508,Penfort Street,15214,238, , , 
40.475043,-80.0012752,Penfort Street,15214,240, , , 
40.4747804,-80.0011989,Penfort Street,15214,232, , , 
40.4750121,-80.0011429,Penfort Street,15214,244, , , 
40.4747733,-80.0011396,Penfort Street,15214,234, , , 
40.4749979,-80.0010813,Penfort Street,15214,246, , , 
40.4749876,-80.0010199,Penfort Street,15214,248, , , 
40.4752581,-80.0010192,Penfort Street,15214,256, , , 
40.4751974,-80.0008507,Penfort Street,15214,262, , , 
40.4758873,-80.0004739,Penfort Street,15214,318, , , 
40.4758212,-80.0003455,Penfort Street,15214,322, , , 
40.4757925,-80.0002934,Penfort Street,15214,324, , , 
40.4760021,-80.0001379,Penfort Street,15214,340, , , 
40.4759682,-80.0000879,Penfort Street,15214,342, , , 
40.4762539,-80.0000528,Penfort Street,15214,352, , , 
40.4762148,-79.9999983,Penfort Street,15214,354, , , 
40.4761798,-79.9999349,Penfort Street,15214,356, , , 
40.4761403,-79.9998782,Penfort Street,15214,358, , , 
40.4764043,-79.9998007,Penfort Street,15214,368, , , 
40.4764409,-79.9998512,Penfort Street,15214,366, , , 
40.4765092,-79.9994767,Penfort Street,15214,380, , , 
40.4765428,-79.9995281,Penfort Street,15214,378, , , 
40.4765804,-80.0003744,Penfort Street,15214,359, , , 
40.4766153,-79.9996424,Penfort Street,15214,374, , , 
40.476665,-80.0002866,Penfort Street,15214,363, , , 
40.4767127,-80.0002389,Penfort Street,15214,365, , , 
40.4767983,-80.00014,Penfort Street,15214,369, , , 
40.4769212,-80.000005,Penfort Street,15214,381, , , 
40.4769599,-79.9999631,Penfort Street,15214,383, , , 
40.4741283,-80.0033805,Penfort Street,15214,131, , , 
40.4737082,-80.0033783,Penfort Street,15214,115, , , 
40.4736593,-80.0033397,Penfort Street,15214,113, , , 
40.4744222,-80.0032886,Penfort Street,15214,151, , , 
40.4740214,-80.0032834,Penfort Street,15214,125, , , 
40.4735805,-80.0032662,Penfort Street,15214,109, , , 
40.4743731,-80.0032466,Penfort Street,15214,149, , , 
40.4735304,-80.0032293,Penfort Street,15214,107, , , 
40.4739272,-80.003203,Penfort Street,15214,121, , , 
40.4734776,-80.0031941,Penfort Street,15214,105, , , 
40.4743269,-80.003193,Penfort Street,15214,147, , , 
40.474185,-80.003076,Penfort Street,15214,141, , , 
40.4741355,-80.0030402,Penfort Street,15214,139, , , 
40.4745197,-80.0029772,Penfort Street,15214,163, , , 
40.4748395,-80.0028847,Penfort Street,15214,187, , , 
40.4743868,-80.002867,Penfort Street,15214,157, , , 
40.4747956,-80.0028401,Penfort Street,15214,185, , , 
40.4747538,-80.0028045,Penfort Street,15214,183, , , 
40.4747078,-80.0027659,Penfort Street,15214,181, , , 
40.4746224,-80.0026808,Penfort Street,15214,177, , , 
40.4745839,-80.0026449,Penfort Street,15214,175, , , 
40.4745309,-80.0026148,Penfort Street,15214,173, , , 
