lat,lon,street,postcode,housenumber,city,state,country
40.4644275,-79.9329088,Penn Avenue,15206,5491, , , 
40.46435,-79.9326504,Penn Avenue,15206,5497, , , 
40.4626797,-79.9274581,Penn Avenue,15206,5801, , , 
40.4625594,-79.9275617,Penn Avenue,15206,5807, , , 
40.4624806,-79.9273283,Penn Avenue,15206,5819, , , 
40.462394,-79.9271133,Penn Avenue,15206,5841, , , 
40.4623602,-79.9270113,Penn Avenue,15206,5845, , , 
40.4620104,-79.9274501,Penn Avenue,15206,5800, , , 
40.4615924,-79.926215,Penn Avenue,15206,5916, , , 
40.4620091,-79.9259157,Penn Avenue,15206,5925, , , 
40.462077,-79.9257806,Penn Avenue,15206,5927, , , 
40.4620963,-79.925655,Penn Avenue,15206,5929, , , 
40.4618366,-79.9255392,Penn Avenue,15206,5933, , , 
40.4619123,-79.9251472,Penn Avenue,15206,5947, , , 
40.4622139,-79.9265888,Penn Avenue,15206,5903, , , 
40.462196,-79.9262827,Penn Avenue,15206,5909, , , 
40.4622677,-79.9260743,Penn Avenue,15206,5915, , , 
40.4621596,-79.9258533,Penn Avenue,15206,5921, , , 
40.4453404,-79.9932533,Penn Avenue,1121,yes, , , 
40.4453888,-79.9931751,Penn Avenue,1125,yes, , , 
40.445433,-79.9931038,Penn Avenue,1133,yes, , , 
40.4455992,-79.9928354,Penn Avenue,1139,yes, , , 
40.4561262,-79.9150614,Penn Avenue,15206,6515, , , 
40.459193,-79.9192342,Penn Avenue,15206,6343, , , 
40.4616278,-79.9260821,Penn Avenue,15206,5924, , , 
40.4616842,-79.9262356,Penn Avenue,15206,5920, , , 
40.4617329,-79.9263504,Penn Avenue,15206,5918, , , 
40.4619319,-79.9257385,Penn Avenue,15206,5931, , , 
40.4620612,-79.9261374,Penn Avenue,15206,5919, , , 
40.462118,-79.926283,Penn Avenue,15206,5913, , , 
40.4644412,-79.9364159,Penn Avenue,15206,5400, , , 
40.4644456,-79.9363096,Penn Avenue,15206,5402, , , 
40.4645206,-79.9355977,Penn Avenue,15206,5422, , , 
40.4645214,-79.9361661,Penn Avenue,15206,5404, , , 
40.4645286,-79.935497,Penn Avenue,15206,5424, , , 
40.4645489,-79.9359323,Penn Avenue,15206,5408, , , 
40.4646023,-79.9331661,Penn Avenue,15206,5467, , , 
40.4649045,-79.935201,Penn Avenue,15206,5429, , , 
40.4649251,-79.9350604,Penn Avenue,15206,5431, , , 
40.4649903,-79.9344143,Penn Avenue,15206,5443, , , 
40.4643124,-79.9325503,Penn Avenue,15206,5499, , , 
40.4418641,-79.8789912,Penn Avenue,1007,yes, , , 
40.4418499,-79.8789484,Penn Avenue,1009,yes, , , 
40.4418386,-79.8789146,Penn Avenue,1011,yes, , , 
40.4418195,-79.878857,Penn Avenue,1013,yes, , , 
