lat,lon,street,postcode,housenumber,city,state,country
40.4616772,-80.013721,Perrysville Avenue,15214,1923,Pittsburgh,PA,US
40.4617443,-80.013701,Perrysville Avenue,15214,1925,Pittsburgh,PA,US
40.4619467,-80.0136409,Perrysville Avenue,15214,1933,Pittsburgh,PA,US
40.4620136,-80.0136205,Perrysville Avenue,15214,1935,Pittsburgh,PA,US
40.462416,-80.01357,Perrysville Avenue,15214,1947,Pittsburgh,PA,US
40.4653961,-80.0120716,Perrysville Avenue,15214,2221,Pittsburgh,PA,US
40.4652551,-80.0120191,Perrysville Avenue,15214,2217,Pittsburgh,PA,US
40.4649071,-80.0118011,Perrysville Avenue,15214,2205,Pittsburgh,PA,US
40.4663351,-80.0117537,Perrysville Avenue,15214,2303,Pittsburgh,PA,US
40.4664952,-80.0116533,Perrysville Avenue,15214,2305,Pittsburgh,PA,US
40.466548,-80.0114944,Perrysville Avenue,15214,2309,Pittsburgh,PA,US
40.465004,-80.0112974,Perrysville Avenue,15214,2202,Pittsburgh,PA,US
40.4673397,-80.0100934,Perrysville Avenue,15214,2345,Pittsburgh,PA,US
40.4731378,-80.0106537,Perrysville Avenue,15214,2721, , , 
40.4732553,-80.0106141,Perrysville Avenue,15214,2725, , , 
40.4722404,-80.0105855,Perrysville Avenue,15214,2651, , , 
40.4726,-80.0105662,Perrysville Avenue,15214,2701, , , 
40.4730278,-80.0101279,Perrysville Avenue,15214,2712, , , 
40.4729826,-80.0101256,Perrysville Avenue,15214,2710, , , 
40.4684483,-80.010084,Perrysville Avenue,15214,2435,Pittsburgh,PA,US
40.4727404,-80.0100827,Perrysville Avenue,15214,2702, , , 
40.4715313,-80.0096926,Perrysville Avenue,15214,2627, , , 
40.4721366,-80.0105582,Perrysville Avenue,15214,2647, , , 
40.4721886,-80.0105679,Perrysville Avenue,15214,2649, , , 
40.4823961,-80.0131397,Perrysville Avenue,15214,3412, , , 
40.4801364,-80.013088,Perrysville Avenue,15214,3329, , , 
40.4826478,-80.0129349,Perrysville Avenue,15214,3424, , , 
40.4763118,-80.012184,Perrysville Avenue,15214,3004, , , 
40.4764173,-80.0121786,Perrysville Avenue,15214,3008, , , 
40.4771899,-80.0120437,Perrysville Avenue,15214,3034, , , 
40.4758141,-80.0119232,Perrysville Avenue,15214,2936, , , 
40.4779568,-80.0118361,Perrysville Avenue,15214,3116, , , 
40.4745988,-80.0110823,Perrysville Avenue,15214,2839, , , 
40.4736357,-80.0110727,Perrysville Avenue,15214,2801, , , 
40.4740868,-80.0106517,Perrysville Avenue,15214,2821, , , 
40.4738447,-80.010609,Perrysville Avenue,15214,2809, , , 
40.4738412,-80.0105172,Perrysville Avenue,15214,2811, , , 
40.4775656,-80.0119833,Perrysville Avenue,15214,3102, , , 
40.4902128,-80.0187714,Perrysville Avenue,15214,3909, , , 
40.4902146,-80.0188736,Perrysville Avenue,15214,3917, , , 
40.4902631,-80.0187555,Perrysville Avenue,15214,3919, , , 
40.4903215,-80.0189279,Perrysville Avenue,15214,3923, , , 
40.4903522,-80.0189728,Perrysville Avenue,15214,3925, , , 
40.4906042,-80.0193395,Perrysville Avenue,15214,3937, , , 
40.4906477,-80.0194172,Perrysville Avenue,15214,3941, , , 
40.490709,-80.0194952,Perrysville Avenue,15214,3943, , , 
40.490767,-80.0195921,Perrysville Avenue,15214,3947, , , 
40.4907949,-80.0196387,Perrysville Avenue,15214,3949, , , 
40.4914619,-80.0198799,Perrysville Avenue,15214,4010, , , 
40.4917551,-80.0202307,Perrysville Avenue,15214,4018, , , 
40.4922996,-80.0210004,Perrysville Avenue,15214,4038, , , 
40.4925099,-80.0212854,Perrysville Avenue,15214,4056, , , 
40.4891661,-80.0178716,Perrysville Avenue,15214,3876, , , 
40.4891355,-80.0178659,Perrysville Avenue,15214,3880, , , 
40.4890391,-80.0176433,Perrysville Avenue,15214,3872, , , 
40.4879561,-80.0166775,Perrysville Avenue,15214,3829, , , 
40.4879187,-80.0166259,Perrysville Avenue,15214,3827, , , 
40.4848942,-80.0162549,Perrysville Avenue,15214,3643, , , 
40.4850799,-80.0154415,Perrysville Avenue,15214,3628, , , 
40.4850959,-80.0153676,Perrysville Avenue,15214,3626, , , 
40.4605932,-80.0141067,Perrysville Avenue,15214,1827,Pittsburgh,PA,US
40.4847783,-80.0150916,Perrysville Avenue,15214,3614, , , 
40.484748,-80.0150546,Perrysville Avenue,15214,3612, , , 
40.4847101,-80.0149857,Perrysville Avenue,15214,3610, , , 
40.4846891,-80.0149485,Perrysville Avenue,15214,3608, , , 
40.484635,-80.0148238,Perrysville Avenue,15214,3604, , , 
40.4846065,-80.0147487,Perrysville Avenue,15214,3602, , , 
40.4845924,-80.014689,Perrysville Avenue,15214,3600, , , 
40.4710708,-80.0088715,Perrysville Avenue,15214,2601, , , 
40.4705352,-80.0087482,Perrysville Avenue,15214,2529,Pittsburgh,PA,US
40.4696979,-80.0087359,Perrysville Avenue,15214,2503,Pittsburgh,PA,US
40.4706748,-80.0087155,Perrysville Avenue,15214,2533,Pittsburgh,PA,US
40.4701288,-80.0087054,Perrysville Avenue,15214,2515,Pittsburgh,PA,US
40.470062,-80.0086967,Perrysville Avenue,15214,2513,Pittsburgh,PA,US
40.4695817,-80.0086713,Perrysville Avenue,15214,2501,Pittsburgh,PA,US
40.4706204,-80.0086457,Perrysville Avenue,15214,2531,Pittsburgh,PA,US
40.468937,-80.0086411,Perrysville Avenue,15214,2446,Pittsburgh,PA,US
40.4702485,-80.0086372,Perrysville Avenue,15214,2517,Pittsburgh,PA,US
40.4690626,-80.0084522,Perrysville Avenue,15214,2450,Pittsburgh,PA,US
40.4707471,-80.0081311,Perrysville Avenue,15214,2538,Pittsburgh,PA,US
40.4711234,-80.0090001,Perrysville Avenue,15214,2603, , , 
40.4839485,-80.0129876,Perrysville Avenue,15214,3466, , , 
40.4840448,-80.0130804,Perrysville Avenue,15214,3462, , , 
40.484086,-80.0131192,Perrysville Avenue,15214,3460, , , 
40.4841121,-80.0131599,Perrysville Avenue,15214,3468, , , 
40.4841407,-80.0132972,Perrysville Avenue,15214,3472, , , 
40.4892665,-80.0179965,Perrysville Avenue,kindergarten,3884, , , 
