lat,lon,street,postcode,housenumber,city,state,country
40.465845,-79.899376,Pointview Street,15206,1224, , , 
40.4660079,-79.8992553,Pointview Street,15206,1228, , , 
40.4660339,-79.8991699,Pointview Street,15206,1230, , , 
40.4660793,-79.8990484,Pointview Street,15206,1234, , , 
40.4662349,-79.8995552,Pointview Street,15206,1229, , , 
40.4662752,-79.8988461,Pointview Street,15206,1244, , , 
40.4663216,-79.8993937,Pointview Street,15206,1233, , , 
40.4664772,-79.8992386,Pointview Street,15206,1239, , , 
40.4665126,-79.898561,Pointview Street,15206,1238, , , 
40.4665129,-79.8991643,Pointview Street,15206,1241, , , 
40.4665727,-79.8991072,Pointview Street,15206,1243, , , 
40.4667388,-79.8987836,Pointview Street,15206,1301, , , 
40.4667668,-79.8982531,Pointview Street,15206,1304, , , 
40.4668126,-79.8987428,Pointview Street,15206,1303, , , 
40.4668784,-79.8987024,Pointview Street,15206,1305, , , 
40.4669606,-79.8986673,Pointview Street,15206,1307, , , 
40.4670934,-79.8981707,Pointview Street,15206,1320, , , 
40.467118,-79.8985609,Pointview Street,15206,1321, , , 
40.4672156,-79.8980984,Pointview Street,15206,1324, , , 
40.4672887,-79.8980774,Pointview Street,15206,1326, , , 
40.4674218,-79.8980083,Pointview Street,15206,1334, , , 
40.4674438,-79.8984483,Pointview Street,15206,1331, , , 
40.4674914,-79.8980004,Pointview Street,15206,1336, , , 
40.4675558,-79.8979647,Pointview Street,15206,1340, , , 
40.467619,-79.8984334,Pointview Street,15206,1335, , , 
40.4676806,-79.8979274,Pointview Street,15206,1344, , , 
40.4677627,-79.8983129,Pointview Street,15206,1343, , , 
40.4679302,-79.8977336,Pointview Street,15206,1352, , , 
40.4679773,-79.8979483,Pointview Street,15206,1356, , , 
40.4680186,-79.8983861,Pointview Street,15206,1357, , , 
40.4680542,-79.8979781,Pointview Street,15206,1358, , , 
40.4681064,-79.8980207,Pointview Street,15206,1360, , , 
40.4681737,-79.8980035,Pointview Street,15206,1362, , , 
40.4682279,-79.8980437,Pointview Street,15206,1364, , , 
40.468296,-79.8980706,Pointview Street,15206,1366, , , 
