lat,lon,street,postcode,housenumber,city,state,country
40.3985446,-80.037195,Potomac Avenue,15216,1646, , , 
40.3988912,-80.0383417,Potomac Avenue,15216,1677, , , 
40.3989481,-80.0382725,Potomac Avenue,15216,1679, , , 
40.399067,-80.0378549,Potomac Avenue,15216,1666, , , 
40.3991902,-80.0387078,Potomac Avenue,15216,1697, , , 
40.3992723,-80.038179,Potomac Avenue,15216,1680, , , 
40.3992922,-80.0388811,Potomac Avenue,15216,1699, , , 
40.4005257,-80.0392089,Potomac Avenue,15216,1746, , , 
40.4005342,-80.039197,Potomac Avenue,15216,1744, , , 
40.4006079,-80.0392594,Potomac Avenue,15216,1750, , , 
40.3983598,-80.0376111,Potomac Avenue,15216,1651, , , 
