lat,lon,street,postcode,housenumber,city,state,country
40.4661281,-79.9280695,Rippey Street,15206,5620, , , 
40.4662134,-79.9269847,Rippey Street,15206,5639, , , 
40.4664856,-79.9276618,Rippey Street,15206,5631, , , 
40.4665613,-79.927652,Rippey Street,15206,5627, , , 
40.4665809,-79.9275452,Rippey Street,15206,5629, , , 
40.4659285,-79.9262036,Rippey Street,15206,5711, , , 
40.4656257,-79.9254112,Rippey Street,15206,5811, , , 
40.4655636,-79.9252553,Rippey Street,15206,5815, , , 
40.4650944,-79.9251226,Rippey Street,15206,5824, , , 
40.4655876,-79.9253222,Rippey Street,15206,5813, , , 
40.4656524,-79.9254788,Rippey Street,15206,5809, , , 
