lat,lon,street,postcode,housenumber,city,state,country
40.4969662,-79.9053657,River Oaks Drive,15215,904, , , 
40.4970261,-79.9053626,River Oaks Drive,15215,906, , , 
40.4971326,-79.9053502,River Oaks Drive,15215,910, , , 
40.4972058,-79.9057707,River Oaks Drive,15215,901, , , 
40.4972484,-79.9057566,River Oaks Drive,15215,903, , , 
40.4973051,-79.9052989,River Oaks Drive,15215,914, , , 
40.4974186,-79.9057002,River Oaks Drive,15215,911, , , 
40.4974611,-79.9056858,River Oaks Drive,15215,913, , , 
40.4975462,-79.9056575,River Oaks Drive,15215,917, , , 
40.497706,-79.9051545,River Oaks Drive,15215,1000, , , 
40.4978037,-79.9050946,River Oaks Drive,15215,1004, , , 
40.4978636,-79.9050768,River Oaks Drive,15215,1006, , , 
40.4979163,-79.9050511,River Oaks Drive,15215,1008, , , 
40.4979707,-79.9050356,River Oaks Drive,15215,1010, , , 
40.4980417,-79.905476,River Oaks Drive,15215,1009, , , 
40.4980904,-79.905452,River Oaks Drive,15215,1011, , , 
40.498188,-79.905404,River Oaks Drive,15215,1015, , , 
40.4985519,-79.9050753,River Oaks Drive,15215,1104, , , 
40.4986041,-79.9050723,River Oaks Drive,15215,1106, , , 
40.498656,-79.9050697,River Oaks Drive,15215,1108, , , 
40.4974088,-79.9052461,River Oaks Drive,15215,918, , , 
40.4975888,-79.9056434,River Oaks Drive,15215,919, , , 
40.4974651,-79.9052302,River Oaks Drive,15215,920, , , 
40.4976313,-79.9056293,River Oaks Drive,15215,921, , , 
40.4975156,-79.9052049,River Oaks Drive,15215,922, , , 
40.4976742,-79.9056149,River Oaks Drive,15215,923, , , 
40.4987605,-79.905064,River Oaks Drive,15215,1112, , , 
