lat,lon,street,postcode,housenumber,city,state,country
40.4707321,-79.8933509,Rossgarden Road,15206,7174, , , 
40.4709702,-79.8931575,Rossgarden Road,15206,7171, , , 
40.4718349,-79.8951816,Rossgarden Road,15206,7114, , , 
40.4720384,-79.8955048,Rossgarden Road,15206,7102, , , 
40.4716304,-79.8948658,Rossgarden Road,15206,7126, , , 
40.4717971,-79.8944375,Rossgarden Road,15206,7129, , , 
40.4715514,-79.8947612,Rossgarden Road,15206,7130, , , 
40.4714175,-79.8945484,Rossgarden Road,15206,7136, , , 
40.47172,-79.8943438,Rossgarden Road,15206,7137, , , 
40.471646,-79.8942307,Rossgarden Road,15206,7141, , , 
40.471519,-79.8939886,Rossgarden Road,15206,7147, , , 
40.471462,-79.893866,Rossgarden Road,15206,7151, , , 
40.4713702,-79.8937653,Rossgarden Road,15206,7155, , , 
40.4712927,-79.8936539,Rossgarden Road,15206,7159, , , 
40.4709662,-79.8939203,Rossgarden Road,15206,7160, , , 
40.4709194,-79.8937945,Rossgarden Road,15206,7164, , , 
40.4711908,-79.8935191,Rossgarden Road,15206,7165, , , 
40.4712006,-79.8942356,Rossgarden Road,15206,7150, , , 
