lat,lon,street,postcode,housenumber,city,state,country
40.4640579,-79.902676,Rowan Street,15206,6716, , , 
40.4641219,-79.9027899,Rowan Street,15206,6712, , , 
40.4641575,-79.9028532,Rowan Street,15206,6710, , , 
40.464191,-79.9029272,Rowan Street,15206,6708, , , 
40.4642062,-79.9020682,Rowan Street,15206,6729, , , 
40.4642099,-79.9022976,Rowan Street,15206,6725, , , 
40.4642726,-79.9030758,Rowan Street,15206,6702, , , 
40.4643415,-79.9023511,Rowan Street,15206,6723, , , 
40.4644691,-79.9027384,Rowan Street,15206,6707, , , 
40.4646148,-79.9028171,Rowan Street,15206,6701, , , 
40.4646492,-79.9030677,Rowan Street,15206,6641, , , 
40.4646872,-79.9031343,Rowan Street,15206,6639, , , 
40.464722,-79.9032117,Rowan Street,15206,6637, , , 
40.4647646,-79.9038882,Rowan Street,15206,6624, , , 
40.4648099,-79.9033543,Rowan Street,15206,6633, , , 
40.4649165,-79.9034738,Rowan Street,15206,6629, , , 
40.464552,-79.9036103,Rowan Street,15206,6634, , , 
40.464505,-79.9027859,Rowan Street,15206,6703, , , 
40.4644388,-79.9026414,Rowan Street,15206,6709, , , 
40.4640331,-79.9026357,Rowan Street,15206,6718, , , 
40.4662397,-79.9057282,Rowan Street,15206,6529, , , 
40.4658306,-79.9056932,Rowan Street,15206,6544, , , 
40.4661597,-79.9055707,Rowan Street,15206,6535, , , 
40.4661181,-79.9055021,Rowan Street,15206,6539, , , 
40.4656727,-79.9054602,Rowan Street,15206,6552, , , 
40.4660268,-79.9053504,Rowan Street,15206,6545, , , 
40.4655704,-79.9052322,Rowan Street,15206,6558, , , 
40.4655203,-79.9051533,Rowan Street,15206,6560, , , 
40.4658689,-79.905098,Rowan Street,15206,6555, , , 
40.4654513,-79.9050523,Rowan Street,15206,5, , , 
40.4654511,-79.905049,Rowan Street,15206,6562, , , 
40.4654281,-79.9050023,Rowan Street,15206,6564, , , 
40.4653617,-79.9048808,Rowan Street,15206,6568, , , 
40.4657376,-79.9048385,Rowan Street,15206,6561, , , 
40.4653148,-79.9048171,Rowan Street,15206,6570, , , 
40.4652665,-79.9047566,Rowan Street,15206,6572, , , 
40.465685,-79.9047542,Rowan Street,15206,6565, , , 
40.4656315,-79.9046644,Rowan Street,15206,6569, , , 
40.4655456,-79.9045006,Rowan Street,15206,6573, , , 
40.4650939,-79.9044735,Rowan Street,15206,6604, , , 
40.4649851,-79.9043424,Rowan Street,15206,6608, , , 
40.464978,-79.9042825,Rowan Street,15206,6610, , , 
40.4653454,-79.904194,Rowan Street,15206,6605, , , 
40.464971,-79.9041986,Rowan Street,15206,6612, , , 
40.4665345,-79.9062025,Rowan Street,15206,6513, , , 
40.4664794,-79.9061381,Rowan Street,15206,6515, , , 
40.4664387,-79.9060549,Rowan Street,15206,6519, , , 
