lat,lon,street,postcode,housenumber,city,state,country
40.4651982,-79.9287671,Rural Street,15206,5620, , , 
40.4651724,-79.9286195,Rural Street,15206,5624, , , 
40.4651495,-79.9285541,Rural Street,15206,5626, , , 
40.4650217,-79.9282372,Rural Street,15206,5634, , , 
40.4649427,-79.9279873,Rural Street,15206,5642, , , 
40.4649151,-79.9279195,Rural Street,15206,5644, , , 
40.4651895,-79.9277681,Rural Street,15206,5641, , , 
40.4651796,-79.9277415,Rural Street,15206,5643, , , 
40.4648274,-79.9277348,Rural Street,15206,5650, , , 
40.4646049,-79.927069,Rural Street,15206,5714, , , 
40.4645828,-79.9270068,Rural Street,15206,5716, , , 
40.4648144,-79.9266469,Rural Street,15206,5727, , , 
