lat,lon,street,postcode,housenumber,city
25.8183775,-80.1810011,Sabal Palm Road,33137,4425,Miami
25.8186657,-80.1806037,Sabal Palm Road,33137,4445,Miami
25.8189449,-80.1803837,Sabal Palm Road,33137,4465,Miami
25.8191606,-80.1802255,Sabal Palm Road,33137,4505,Miami
25.8193989,-80.1800927,Sabal Palm Road,33137,4515,Miami
25.8198315,-80.1796224,Sabal Palm Road,33137,4535,Miami
25.8210013,-80.179544,Sabal Palm Road,33137,4600,Miami
25.8201607,-80.1794628,Sabal Palm Road,33137,4555,Miami
25.8203795,-80.1792822,Sabal Palm Road,33137,4565,Miami
25.8205867,-80.1791182,Sabal Palm Road,33137,4575,Miami
25.8210765,-80.1788227,Sabal Palm Road,33137,4595,Miami
25.8154175,-80.1847673,Sabal Palm Road,33137,610,Miami
25.8164129,-80.1845636,Sabal Palm Road,33137,627,Miami
25.8143668,-80.1878589,Sabal Palm Road,33137,450,Miami
25.8143684,-80.187544,Sabal Palm Road,33137,460,Miami
25.8145906,-80.1856108,Sabal Palm Road,33137,580,Miami
25.8150387,-80.1852091,Sabal Palm Road,33137,590,Miami
