lat,lon,street,postcode,housenumber,city,state,country
40.471127,-79.9000319,Schwerner Court,15206,1389, , , 
40.4718609,-79.8993232,Schwerner Court,15206,1309, , , 
40.4718963,-79.9000639,Schwerner Court,15206,1351, , , 
40.4719189,-79.8999295,Schwerner Court,15206,1343, , , 
40.47197,-79.899884,Schwerner Court,15206,1339, , , 
40.4720171,-79.8994724,Schwerner Court,15206,1319, , , 
40.4720252,-79.899706,Schwerner Court,15206,1331, , , 
40.4720299,-79.8993344,Schwerner Court,15206,1311, , , 
40.472058,-79.8995492,Schwerner Court,15206,1323, , , 
40.4713172,-79.9005359,Schwerner Court,15206,1375, , , 
40.471254,-79.9004645,Schwerner Court,15206,1377, , , 
40.4714808,-79.9004347,Schwerner Court,15206,1369, , , 
40.4716462,-79.9003289,Schwerner Court,15206,1365, , , 
40.4717511,-79.9003135,Schwerner Court,15206,1361, , , 
40.4713472,-79.9002701,Schwerner Court,15206,1379, , , 
40.4713308,-79.900175,Schwerner Court,15206,1381, , , 
40.4719247,-79.9001626,Schwerner Court,15206,1355, , , 
