lat,lon,street,postcode,housenumber,city,state,country
40.4651238,-79.9242442,Selma Street,15206,401, , , 
40.465173,-79.9242138,Selma Street,15206,403, , , 
40.4652271,-79.9241799,Selma Street,15206,405, , , 
40.4652847,-79.9241538,Selma Street,15206,407, , , 
40.4653237,-79.9241392,Selma Street,15206,409, , , 
40.4654284,-79.9240628,Selma Street,15206,413, , , 
40.4654876,-79.9240255,Selma Street,15206,415, , , 
40.4655335,-79.9239964,Selma Street,15206,417, , , 
40.4656249,-79.9239386,Selma Street,15206,421, , , 
40.4657006,-79.9239259,Selma Street,15206,423, , , 
