lat,lon,street,postcode,housenumber,city,state,country
40.4585788,-79.9224655,Shady Avenue,15206,230, , , 
40.4586131,-79.9223804,Shady Avenue,15206,228, , , 
40.4585149,-79.9223466,Shady Avenue,15206,234, , , 
40.4538654,-79.9210157,Shady Avenue,15206,527, , , 
40.4538643,-79.9210135,Shady Avenue,15206,525, , , 
40.4534489,-79.9207507,Shady Avenue,15206,605, , , 
40.4535329,-79.9206945,Shady Avenue,15206,607, , , 
40.4504542,-79.9201698,Shady Avenue,15206,1085, , , 
40.4507136,-79.9199826,Shady Avenue,15206,1083, , , 
40.4572671,-79.921865,Shady Avenue,15206,265, , , 
40.4474936,-79.9211514,Shady Avenue,15206,1205, , , 
40.4473861,-79.9211159,Shady Avenue,15206,1209, , , 
40.4472269,-79.9210677,Shady Avenue,15206,1215, , , 
40.447827,-79.9210597,Shady Avenue,15206,1169, , , 
40.4474703,-79.9210317,Shady Avenue,15206,1207, , , 
40.4470767,-79.9210104,Shady Avenue,15206,1219, , , 
40.4463934,-79.9208734,Shady Avenue,15206,1245, , , 
40.4486111,-79.9207032,Shady Avenue,15206,1137, , , 
40.4487624,-79.9206747,Shady Avenue,15206,1131, , , 
40.4491145,-79.920521,Shady Avenue,15206,1121, , , 
40.4494031,-79.92049,Shady Avenue,15206,1105, , , 
40.4492576,-79.9204778,Shady Avenue,15206,1117, , , 
40.4497755,-79.9203263,Shady Avenue,15206,1101, , , 
40.4499494,-79.9202355,Shady Avenue,15206,1089, , , 
40.450361,-79.9198232,Shady Avenue,15206,3, , , 
