lat,lon,street,postcode,housenumber,city,state,country
40.4604042,-79.9071733,Shetland Street,15206,6649, , , 
40.460508,-79.9072202,Shetland Street,15206,6643, , , 
40.4605888,-79.9072569,Shetland Street,15206,6639, , , 
40.4606267,-79.9072728,Shetland Street,15206,6637, , , 
40.4606929,-79.9072983,Shetland Street,15206,6633, , , 
40.4607302,-79.9073168,Shetland Street,15206,6631, , , 
40.460816,-79.9072785,Shetland Street,15206,6629, , , 
40.4609668,-79.9073373,Shetland Street,15206,6623, , , 
40.4610527,-79.9074295,Shetland Street,15206,6619, , , 
40.4613238,-79.9075849,Shetland Street,15206,6611, , , 
40.4631311,-79.9090541,Shetland Street,15206,6506, , , 
40.4625437,-79.9086334,Shetland Street,15206,6530, , , 
40.4629708,-79.9082563,Shetland Street,15206,6521, , , 
40.4626793,-79.9081614,Shetland Street,15206,6529, , , 
40.4625759,-79.9081131,Shetland Street,15206,6533, , , 
40.4630361,-79.9089511,Shetland Street,15206,6512, , , 
40.4631685,-79.9085081,Shetland Street,15206,6515, , , 
40.4629247,-79.9088278,Shetland Street,15206,6516, , , 
40.4631166,-79.9084493,Shetland Street,15206,6519, , , 
40.4624129,-79.9079756,Shetland Street,15206,6537, , , 
40.4621579,-79.9078837,Shetland Street,15206,6549, , , 
40.4620946,-79.9078339,Shetland Street,15206,6551, , , 
40.4637474,-79.9092557,Shetland Street,15206,6437, , , 
40.4637888,-79.9092844,Shetland Street,15206,237, , , 
40.4639654,-79.9093986,Shetland Street,15206,229, , , 
40.4639828,-79.9099697,Shetland Street,15206,220, , , 
40.4640126,-79.9100041,Shetland Street,15206,218, , , 
40.4640452,-79.9100375,Shetland Street,15206,216, , , 
40.4640839,-79.9102001,Shetland Street,15206,212, , , 
40.4641962,-79.9102325,Shetland Street,15206,210, , , 
40.4643329,-79.9098964,Shetland Street,15206,6413, , , 
40.4648226,-79.9104014,Shetland Street,15206,197, , , 
40.4651128,-79.9107396,Shetland Street,15206,185, , , 
40.4651844,-79.9107617,Shetland Street,15206,183, , , 
40.4635458,-79.9087733,Shetland Street,15206,6503, , , 
40.4633551,-79.9087773,Shetland Street,15206,6507, , , 
40.4640404,-79.9101484,Shetland Street,15206,214, , , 
40.4632126,-79.9085728,Shetland Street,15206,6511, , , 
40.465031,-79.9112083,Shetland Street,15206,6346, , , 
40.4651067,-79.9112898,Shetland Street,15206,6342, , , 
40.4652462,-79.9114205,Shetland Street,15206,6338, , , 
40.465342,-79.9115242,Shetland Street,15206,132, , , 
40.4654259,-79.9111649,Shetland Street,15206,135, , , 
40.4654452,-79.9116286,Shetland Street,15206,128, , , 
40.4654797,-79.9116922,Shetland Street,15206,126, , , 
40.4655722,-79.911312,Shetland Street,15206,6329, , , 
40.4655725,-79.9117829,Shetland Street,15206,122, , , 
40.465615,-79.9118454,Shetland Street,15206,120, , , 
40.465716,-79.9113633,Shetland Street,15206,6325, , , 
40.4658602,-79.9115793,Shetland Street,15206,119, , , 
40.4667344,-79.9123174,Shetland Street,15206,23, , , 
40.4669905,-79.9124856,Shetland Street,15206,11, , , 
40.4670521,-79.9125365,Shetland Street,15206,9, , , 
40.4672913,-79.9127562,Shetland Street,15206,1, , , 
40.4665974,-79.9127124,Shetland Street,15206,6214, , , 
40.4655634,-79.9111948,Shetland Street,15206,6331, , , 
40.4651844,-79.9113757,Shetland Street,15206,6340, , , 
40.4650702,-79.9112459,Shetland Street,15206,6344, , , 
40.466612,-79.91271,Shetland Street,15206,14, , , 
40.4651721,-79.9113155,Shetland Street,15206,6340, , , 
40.464944,-79.9111042,Shetland Street,15206,184, , , 
