lat,lon,street,postcode,housenumber,city,state,country
40.4679249,-79.8908569,Somerset Street,15206,7313, , , 
40.4679381,-79.8907649,Somerset Street,15206,7317, , , 
40.4679369,-79.8905919,Somerset Street,15206,7321, , , 
40.4677814,-79.8929818,Somerset Street,15206,7229, , , 
40.4677815,-79.8928764,Somerset Street,15206,7231, , , 
40.4678057,-79.8927701,Somerset Street,15206,7235, , , 
40.4678129,-79.8926491,Somerset Street,15206,7239, , , 
40.467821,-79.892346,Somerset Street,15206,7247, , , 
40.4678372,-79.891988,Somerset Street,15206,7257, , , 
40.467839,-79.8924821,Somerset Street,15206,7243, , , 
40.4678408,-79.8918983,Somerset Street,15206,7259, , , 
40.4678602,-79.8917119,Somerset Street,15206,7267, , , 
40.4679834,-79.8921893,Somerset Street,15206,7251, , , 
40.4677435,-79.8938298,Somerset Street,15206,7211, , , 
40.4677395,-79.8939263,Somerset Street,15206,7207, , , 
