lat,lon,street,postcode,housenumber,city,state,country
40.4535601,-79.9246162,South Highland Avenue,15206,421, , , 
40.4535203,-79.9245942,South Highland Avenue,15206,423, , , 
40.4569529,-79.925492,South Highland Avenue,15206,310, , , 
40.4559611,-79.9254643,South Highland Avenue,15206,342, , , 
40.4572674,-79.9254158,South Highland Avenue,15206,254, , , 
40.457314,-79.9254066,South Highland Avenue,15206,252, , , 
40.4572974,-79.9253244,South Highland Avenue,15206,256, , , 
40.4563169,-79.9249732,South Highland Avenue,15206,333, , , 
40.4587441,-79.924714,South Highland Avenue,15206,207, , , 
40.4575949,-79.9253462,South Highland Avenue,15206,246, , , 
40.4576481,-79.9254515,South Highland Avenue,15206,5, , , 
40.4582308,-79.9248089,South Highland Avenue,15206,221, , , 
40.4602793,-79.9251284,South Highland Avenue,15206,126, , , 
