lat,lon,street,postcode,housenumber,city,state,country
40.4473802,-79.9154456,South Linden Avenue,15206,616, , , 
40.4475903,-79.9152536,South Linden Avenue,15206,608, , , 
40.4476907,-79.9151688,South Linden Avenue,15206,604, , , 
40.4480722,-79.9148385,South Linden Avenue,15206,530, , , 
40.448177,-79.9147441,South Linden Avenue,15206,516, , , 
40.4482806,-79.9146511,South Linden Avenue,15206,514, , , 
40.44683,-79.9159692,South Linden Avenue,15206,636, , , 
40.446934,-79.9158856,South Linden Avenue,15206,634, , , 
40.447267,-79.9155656,South Linden Avenue,15206,620, , , 
40.4483657,-79.9145636,South Linden Avenue,15206,512, , , 
40.4484461,-79.9144915,South Linden Avenue,15206,510, , , 
40.4486957,-79.9142896,South Linden Avenue,15206,504, , , 
40.4488662,-79.9141836,South Linden Avenue,15206,500, , , 
40.449927,-79.9131124,South Linden Avenue,15206,352, , , 
40.4502277,-79.9128453,South Linden Avenue,15206,338, , , 
