lat,lon,street,postcode,housenumber,city
25.7898539,-80.16717,South Venetian Way,33139,1376,Miami
25.7898642,-80.1669764,South Venetian Way,33139,1378,Miami
25.7897512,-80.1667411,South Venetian Way,33139,1382,Miami
25.789929,-80.1665514,South Venetian Way,33139,1384,Miami
25.7900326,-80.1663602,South Venetian Way,33139,1386,Miami
25.7901751,-80.1661753,South Venetian Way,33139,1390,Miami
25.7903644,-80.166162,South Venetian Way,33139,1396,Miami
25.7901209,-80.170746,South Venetian Way,33139,1220,Miami
25.7898583,-80.1704724,South Venetian Way,33139,1230,Miami
25.7895944,-80.1700478,South Venetian Way,33139,1236,Miami
25.790339,-80.1697625,South Venetian Way,33139,1281,Miami
25.7897225,-80.1697506,South Venetian Way,33139,1240,Miami
25.7897405,-80.169382,South Venetian Way,33139,1260,Miami
25.7902094,-80.1691886,South Venetian Way,33139,1295,Miami
25.7897538,-80.1691109,South Venetian Way,33139,1276,Miami
25.789763,-80.1689298,South Venetian Way,33139,1278,Miami
25.7897733,-80.168733,South Venetian Way,33139,1300,Miami
25.7897844,-80.1685173,South Venetian Way,33139,1320,Miami
25.7903714,-80.1684192,South Venetian Way,33139,1335,Miami
25.7897957,-80.1683007,South Venetian Way,33139,1330,Miami
25.7898066,-80.1680889,South Venetian Way,33139,1350,Miami
25.7902571,-80.168054,South Venetian Way,33139,1339,Miami
25.7898163,-80.167899,South Venetian Way,33139,1370,Miami
25.7898259,-80.1677145,South Venetian Way,33139,1372,Miami
25.7902762,-80.1676806,South Venetian Way,33139,1351,Miami
25.7898047,-80.1675264,South Venetian Way,33139,1374,Miami
