lat,lon,street,postcode,housenumber,city,state,country
40.4683041,-79.9181785,St Marie Street,15206,6123, , , 
40.4683128,-79.9182207,St Marie Street,15206,6121, , , 
40.4683301,-79.9182811,St Marie Street,15206,6119, , , 
40.4683597,-79.9183863,St Marie Street,15206,6115, , , 
40.4675409,-79.9167571,St Marie Street,15206,6236, , , 
40.4676463,-79.9171387,St Marie Street,15206,6228, , , 
40.4676705,-79.9170341,St Marie Street,15206,5, , , 
40.4678648,-79.9179235,St Marie Street,15206,6204, , , 
40.4681562,-79.9191486,St Marie Street,15206,6100, , , 
40.4683401,-79.9183235,St Marie Street,15206,6117, , , 
40.4683864,-79.9184971,St Marie Street,15206,6111, , , 
40.4683964,-79.9185456,St Marie Street,15206,6109, , , 
40.4683735,-79.9184402,St Marie Street,15206,6113, , , 
40.4676566,-79.9171929,St Marie Street,15206,6226, , , 
