lat,lon,street,postcode,housenumber,city,state,country
40.4697537,-79.9218944,Stanton Avenue,15206,5902, , , 
40.4702714,-79.9221979,Stanton Avenue,15206,5823, , , 
40.4705402,-79.9246231,Stanton Avenue,15206,5648, , , 
40.4682995,-79.9166027,Stanton Avenue,15206,6302, , , 
40.468326,-79.9164645,Stanton Avenue,15206,6306, , , 
40.4691994,-79.914194,Stanton Avenue,15206,6373, , , 
40.4694044,-79.9192064,Stanton Avenue,15206,6047, , , 
40.4694259,-79.9192728,Stanton Avenue,15206,6045, , , 
40.4694376,-79.9193177,Stanton Avenue,15206,6043, , , 
40.4735996,-79.911316,Stanton Avenue,15206,6633, , , 
40.4682883,-79.916692,Stanton Avenue,15206,6300, , , 
40.4683163,-79.9165208,Stanton Avenue,15206,6304, , , 
40.4683695,-79.9162405,Stanton Avenue,15206,6312, , , 
40.4683785,-79.9161862,Stanton Avenue,15206,6314, , , 
40.4686104,-79.9181192,Stanton Avenue,15206,6116, , , 
40.4686524,-79.918063,Stanton Avenue,15206,6120, , , 
40.4693828,-79.9191312,Stanton Avenue,15206,6049, , , 
40.4683372,-79.9163952,Stanton Avenue,15206,6308, , , 
40.4683463,-79.9163494,Stanton Avenue,15206,6310, , , 
40.4688305,-79.9160432,Stanton Avenue,15206,6317, , , 
40.4688494,-79.9159319,Stanton Avenue,15206,6321, , , 
40.4684342,-79.9157885,Stanton Avenue,15206,6326, , , 
40.4684444,-79.9157395,Stanton Avenue,15206,6328, , , 
40.4687946,-79.9161157,Stanton Avenue,15206,6315, , , 
40.4690356,-79.9148719,Stanton Avenue,15206,6355, , , 
40.4698671,-79.9223212,Stanton Avenue,15206,5820, , , 
40.4700804,-79.9215791,Stanton Avenue,15206,5905, , , 
40.4701142,-79.9216809,Stanton Avenue,15206,5903, , , 
40.4701384,-79.92175,Stanton Avenue,15206,5901, , , 
40.4703377,-79.9222033,Stanton Avenue,15206,5821, , , 
40.4706223,-79.9246361,Stanton Avenue,15206,5644, , , 
40.4707165,-79.9231615,Stanton Avenue,15206,5721, , , 
40.4708538,-79.9235542,Stanton Avenue,15206,5701, , , 
40.4710798,-79.9256562,Stanton Avenue,15206,5618, , , 
40.4710809,-79.9256584,Stanton Avenue,15206,5616, , , 
40.4717582,-79.927689,Stanton Avenue,15206,5524, , , 
40.471793,-79.9277807,Stanton Avenue,15206,5522, , , 
40.4692171,-79.9141022,Stanton Avenue,15206,6375, , , 
40.4692578,-79.9137257,Stanton Avenue,15206,6387, , , 
40.4694677,-79.912619,Stanton Avenue,15206,6417, , , 
40.4731293,-79.9113989,Stanton Avenue,15206,6619, , , 
40.4731692,-79.9113919,Stanton Avenue,15206,6617, , , 
40.4733821,-79.9113552,Stanton Avenue,15206,6625, , , 
40.47348,-79.911335,Stanton Avenue,15206,6629, , , 
40.4735172,-79.9113282,Stanton Avenue,15206,6631, , , 
40.473638,-79.9113116,Stanton Avenue,15206,6635, , , 
40.474175,-79.9112138,Stanton Avenue,15206,6707, , , 
40.4747784,-79.911117,Stanton Avenue,15206,6731, , , 
