lat,lon,street,postcode,housenumber,city,state,country
40.4628537,-79.9207188,Station Street,15206,6211, , , 
40.4627053,-79.9203576,Station Street,15206,6229, , , 
40.4626798,-79.9202914,Station Street,15206,6231, , , 
40.4623945,-79.9204837,Station Street,15206,6232, , , 
40.4626666,-79.9202189,Station Street,15206,6235, , , 
40.4623741,-79.9204365,Station Street,15206,6236, , , 
40.4622234,-79.9202705,Station Street,15206,6246, , , 
40.4621416,-79.9201828,Station Street,15206,6248, , , 
40.4621054,-79.9201458,Station Street,15206,6252, , , 
40.4620699,-79.9201026,Station Street,15206,6256, , , 
