lat,lon,street,postcode,housenumber,city,state,country
40.4649945,-79.9139048,Stoebner Way,15206,105, , , 
40.4641175,-79.9122431,Stoebner Way,15206,162, , , 
40.4641637,-79.9122809,Stoebner Way,15206,154, , , 
40.4642578,-79.912431,Stoebner Way,15206,152, , , 
40.4642693,-79.913095,Stoebner Way,15206,143, , , 
40.4643047,-79.9124897,Stoebner Way,15206,150, , , 
40.4646746,-79.9128873,Stoebner Way,15206,136, , , 
40.4647235,-79.9129517,Stoebner Way,15206,133, , , 
40.4648198,-79.913065,Stoebner Way,15206,127, , , 
40.4649001,-79.9134234,Stoebner Way,15206,116, , , 
40.4649364,-79.9134637,Stoebner Way,15206,114, , , 
40.4648848,-79.9134053,Stoebner Way,15206,118, , , 
