lat,lon,street,postcode,housenumber,city,state,country
40.4626659,-79.8936536,Stranahan Street,15206,7201, , , 
40.4627013,-79.893507,Stranahan Street,15206,7209, , , 
40.4612157,-79.8894213,Stranahan Street,15206,7412, , , 
40.4612197,-79.8891903,Stranahan Street,15206,7418, , , 
40.4621618,-79.8911923,Stranahan Street,15206,7369, , , 
40.4621963,-79.8913185,Stranahan Street,15206,7365, , , 
40.4622142,-79.8914503,Stranahan Street,15206,7363, , , 
40.4625476,-79.8927942,Stranahan Street,15206,7227, , , 
40.4616104,-79.8904975,Stranahan Street,15206,7340, , , 
40.4616431,-79.890559,Stranahan Street,15206,7338, , , 
40.4616815,-79.8907647,Stranahan Street,15206,7334, , , 
40.4617407,-79.8909536,Stranahan Street,15206,7330, , , 
40.4621392,-79.8910945,Stranahan Street,15206,7321, , , 
40.4620022,-79.8906027,Stranahan Street,15206,7403, , , 
40.4619306,-79.8903168,Stranahan Street,15206,7411, , , 
40.4619055,-79.89016,Stranahan Street,15206,7413, , , 
