lat,lon,street,postcode,housenumber,city,state,country
40.4658251,-80.0198384,Strauss Street,15214,2417,Pittsburgh,PA,US
40.4658516,-80.0199871,Strauss Street,15214,2415,Pittsburgh,PA,US
40.4658659,-80.0197909,Strauss Street,15214,71,Pittsburgh,PA,US
40.4661558,-80.0187285,Strauss Street,15214,2446,Pittsburgh,PA,US
40.4664118,-80.0189237,Strauss Street,15214,2445,Pittsburgh,PA,US
40.4640009,-80.0199981,Strauss Street,15214,90,Pittsburgh,PA,US
40.4640282,-80.0196541,Strauss Street,15214,10,Pittsburgh,PA,US
40.464114,-80.0196616,Strauss Street,15214,14,Pittsburgh,PA,US
40.464141,-80.0199255,Strauss Street,15214,25,Pittsburgh,PA,US
40.4641489,-80.0196603,Strauss Street,15214,16,Pittsburgh,PA,US
40.4642288,-80.0196601,Strauss Street,15214,20,Pittsburgh,PA,US
40.4643629,-80.0196711,Strauss Street,15214,24,Pittsburgh,PA,US
40.4644317,-80.0200306,Strauss Street,15214,31,Pittsburgh,PA,US
40.4644508,-80.0196712,Strauss Street,15214,28,Pittsburgh,PA,US
40.4645366,-80.019677,Strauss Street,15214,32,Pittsburgh,PA,US
40.4645771,-80.0196819,Strauss Street,15214,34,Pittsburgh,PA,US
40.4646265,-80.019477,Strauss Street,15214,36,Pittsburgh,PA,US
40.4651011,-80.0197242,Strauss Street,15214,48,Pittsburgh,PA,US
40.4652905,-80.0197298,Strauss Street,15214,54,Pittsburgh,PA,US
40.4654989,-80.0196286,Strauss Street,15214,62,Pittsburgh,PA,US
40.4656207,-80.0199739,Strauss Street,15214,67,Pittsburgh,PA,US
40.4656544,-80.0194311,Strauss Street,15214,70,Pittsburgh,PA,US
40.4656928,-80.0193881,Strauss Street,15214,72,Pittsburgh,PA,US
