lat,lon,street,postcode,housenumber,city,state,country
40.465355,-79.9108135,Thompson Street,15206,610, , , 
40.4654151,-79.9106127,Thompson Street,15206,612, , , 
40.4655099,-79.9105065,Thompson Street,15206,616, , , 
40.4657354,-79.9101455,Thompson Street,15206,626, , , 
40.465751,-79.9107543,Thompson Street,15206,619, , , 
40.4657759,-79.9100793,Thompson Street,15206,628, , , 
40.4657945,-79.9106712,Thompson Street,15206,621, , , 
40.4658649,-79.9099466,Thompson Street,15206,632, , , 
40.4659635,-79.9098268,Thompson Street,15206,636, , , 
40.46601,-79.9095162,Thompson Street,15206,642, , , 
40.4660483,-79.9096821,Thompson Street,15206,640, , , 
40.46606,-79.9102332,Thompson Street,15206,635, , , 
40.4654399,-79.9111323,Thompson Street,15206,603, , , 
40.465521,-79.9110141,Thompson Street,15206,609, , , 
