lat,lon,street,postcode,housenumber,city,state,country
40.4636749,-79.8935861,Tilden Street,15206,7190, , , 
40.4637017,-79.893473,Tilden Street,15206,7192, , , 
40.4637363,-79.8935758,Tilden Street,15206,7188, , , 
40.4637678,-79.8939065,Tilden Street,15206,7180, , , 
40.4637717,-79.893711,Tilden Street,15206,7184, , , 
40.463857,-79.8940574,Tilden Street,15206,7174, , , 
40.4638662,-79.8942414,Tilden Street,15206,7168, , , 
40.4639237,-79.8944266,Tilden Street,15206,7162, , , 
40.4639244,-79.894285,Tilden Street,15206,7166, , , 
40.4639592,-79.8945726,Tilden Street,15206,7158, , , 
40.4639796,-79.8944755,Tilden Street,15206,7160, , , 
40.4639931,-79.8946546,Tilden Street,15206,7154, , , 
40.4640172,-79.8945802,Tilden Street,15206,7156, , , 
40.4640537,-79.8946867,Tilden Street,15206,7152, , , 
40.4641451,-79.8937405,Tilden Street,15206,7151, , , 
40.4641959,-79.8937544,Tilden Street,15206,7149, , , 
40.4642087,-79.8939561,Tilden Street,15206,7143, , , 
40.4642211,-79.8938637,Tilden Street,15206,7145, , , 
40.4642494,-79.8940544,Tilden Street,15206,7139, , , 
40.4642897,-79.8942635,Tilden Street,15206,7129, , , 
40.4643256,-79.8943898,Tilden Street,15206,7125, , , 
40.4643575,-79.8943279,Tilden Street,15206,7127, , , 
40.464372,-79.8945361,Tilden Street,15206,7121, , , 
40.4643795,-79.8953452,Tilden Street,15206,7128, , , 
40.4644325,-79.8947077,Tilden Street,15206,7115, , , 
40.4644781,-79.8947667,Tilden Street,15206,7113, , , 
40.4645107,-79.8946653,Tilden Street,15206,7111, , , 
40.4645458,-79.8953031,Tilden Street,15206,7122, , , 
40.4645864,-79.895382,Tilden Street,15206,7120, , , 
40.4646602,-79.8946722,Tilden Street,15206,7105, , , 
40.4646796,-79.8945926,Tilden Street,15206,7103, , , 
40.4635768,-79.8930423,Tilden Street,15206,7200, , , 
40.4636034,-79.8933084,Tilden Street,15206,7198, , , 
40.4638749,-79.892707,Tilden Street,15206,7207, , , 
40.4639143,-79.8929038,Tilden Street,15206,7203, , , 
40.4639817,-79.8932072,Tilden Street,15206,7171, , , 
40.4640226,-79.8933412,Tilden Street,15206,7167, , , 
40.4640595,-79.8932514,Tilden Street,15206,7169, , , 
40.4648191,-79.8953129,Tilden Street,15206,7112, , , 
40.4648254,-79.895244,Tilden Street,15206,7110, , , 
40.4648952,-79.8951794,Tilden Street,15206,7106, , , 
40.4648972,-79.895265,Tilden Street,15206,7108, , , 
40.4649717,-79.8951721,Tilden Street,15206,7104, , , 
40.4649801,-79.8951037,Tilden Street,15206,7102, , , 
