lat,lon,street,postcode,housenumber,city,state,country
40.4622912,-79.9098738,Turrett Street,15206,437, , , 
40.4624792,-79.9094265,Turrett Street,15206,533, , , 
40.4625851,-79.9092954,Turrett Street,15206,537, , , 
40.4626312,-79.9092275,Turrett Street,15206,539, , , 
40.4626761,-79.9091582,Turrett Street,15206,541, , , 
40.4627187,-79.9090952,Turrett Street,15206,543, , , 
40.4627592,-79.9090325,Turrett Street,15206,545, , , 
40.4621675,-79.9090017,Turrett Street,15206,531, , , 
40.4634882,-79.9080187,Turrett Street,15206,621, , , 
40.4635203,-79.9079597,Turrett Street,15206,623, , , 
40.4635659,-79.9078831,Turrett Street,15206,625, , , 
40.4636528,-79.9077331,Turrett Street,15206,629, , , 
40.4637807,-79.9076462,Turrett Street,15206,633, , , 
