lat,lon,street,postcode,housenumber,city,state,country
40.4623073,-79.894794,Upland Street,15206,7179, , , 
40.4623167,-79.8948346,Upland Street,15206,7177, , , 
40.4623249,-79.8948801,Upland Street,15206,7175, , , 
40.4623359,-79.8949236,Upland Street,15206,7173, , , 
40.4623441,-79.8949699,Upland Street,15206,7171, , , 
40.4623515,-79.8950039,Upland Street,15206,7169, , , 
40.4610289,-79.8897695,Upland Street,15206,7507, , , 
40.460989,-79.889687,Upland Street,15206,7509, , , 
40.460974,-79.8896067,Upland Street,15206,7511, , , 
40.4609603,-79.8895322,Upland Street,15206,7513, , , 
40.4609014,-79.8894045,Upland Street,15206,7517, , , 
40.4608636,-79.889308,Upland Street,15206,7519, , , 
40.4627257,-79.8965753,Upland Street,15206,7121, , , 
40.4617462,-79.8922684,Upland Street,15206,7259, , , 
40.4612628,-79.890796,Upland Street,15206,7343, , , 
40.461331,-79.890896,Upland Street,15206,7341, , , 
40.4614332,-79.8910527,Upland Street,15206,7337, , , 
40.4614808,-79.8910499,Upland Street,15206,7335, , , 
40.4633343,-79.9008939,Upland Street,15206,6836, , , 
40.4633891,-79.9012109,Upland Street,15206,6828, , , 
