lat,lon,street,postcode,housenumber,city,state,country
40.4646684,-79.8937022,Vann Road,15206,7144, , , 
40.464686,-79.8939199,Vann Road,15206,7136, , , 
40.4646881,-79.8941464,Vann Road,15206,7130, , , 
40.4646734,-79.8938281,Vann Road,15206,7140, , , 
40.4651701,-79.8932996,Vann Road,15206,7155, , , 
40.4647053,-79.8933384,Vann Road,15206,7156, , , 
40.4651946,-79.8932192,Vann Road,15206,7159, , , 
40.4647242,-79.8932678,Vann Road,15206,7160, , , 
40.4647841,-79.8932209,Vann Road,15206,7162, , , 
40.4651986,-79.8930187,Vann Road,15206,7165, , , 
40.4647656,-79.8933296,Vann Road,15206,7158, , , 
40.465169,-79.8931357,Vann Road,15206,7161, , , 
40.4652338,-79.8930629,Vann Road,15206,7163, , , 
40.4647518,-79.8931537,Vann Road,15206,7164, , , 
40.464784,-79.8930059,Vann Road,15206,7168, , , 
40.464695,-79.8942617,Vann Road,15206,7126, , , 
40.4647007,-79.8943571,Vann Road,15206,7122, , , 
40.4647118,-79.8937607,Vann Road,15206,7142, , , 
40.464725,-79.8938769,Vann Road,15206,7138, , , 
40.4647339,-79.8941968,Vann Road,15206,7128, , , 
40.4647439,-79.8943197,Vann Road,15206,7124, , , 
40.465077,-79.8941717,Vann Road,15206,7127, , , 
40.4650905,-79.8949853,Vann Road,15206,7101, , , 
40.4651004,-79.8935164,Vann Road,15206,7149, , , 
40.4651092,-79.8938999,Vann Road,15206,7135, , , 
40.465113,-79.8946902,Vann Road,15206,7111, , , 
40.4651158,-79.8948769,Vann Road,15206,7105, , , 
40.4651193,-79.8941411,Vann Road,15206,7129, , , 
40.4651345,-79.8947567,Vann Road,15206,7109, , , 
40.4651416,-79.8944668,Vann Road,15206,7117, , , 
40.4647456,-79.8944225,Vann Road,15206,7120, , , 
40.4650633,-79.8940649,Vann Road,15206,7131, , , 
40.4647248,-79.8939739,Vann Road,15206,7134, , , 
40.4650823,-79.8937376,Vann Road,15206,7141, , , 
40.465118,-79.8936489,Vann Road,15206,7143, , , 
40.4647149,-79.8936662,Vann Road,15206,7146, , , 
40.4647371,-79.893398,Vann Road,15206,7154, , , 
