lat,lon,street,postcode,housenumber,city,state,country
40.4850298,-80.0143225,Venture Street,15214,127, , , 
40.4850216,-80.0142643,Venture Street,15214,125, , , 
40.4850179,-80.0141876,Venture Street,15214,123, , , 
40.4853694,-80.0134023,Venture Street,15214,224, , , 
40.4853292,-80.0117366,Venture Street,15214,404, , , 
40.4853327,-80.0116226,Venture Street,15214,406, , , 
40.4853516,-80.0115321,Venture Street,15214,408, , , 
40.4853521,-80.0114442,Venture Street,15214,412, , , 
40.4853536,-80.011349,Venture Street,15214,414, , , 
40.4849685,-80.0129959,Venture Street,15214,301, , , 
40.485301,-80.0128442,Venture Street,15214,304, , , 
40.4853309,-80.0118066,Venture Street,15214,402, , , 
40.4853521,-80.011484,Venture Street,15214,410, , , 
40.4853539,-80.0110085,Venture Street,15214,424, , , 
40.4853548,-80.0109681,Venture Street,15214,426, , , 
40.485358,-80.0109159,Venture Street,15214,428, , , 
40.4853588,-80.0108863,Venture Street,15214,430, , , 
40.485389,-80.0135109,Venture Street,15214,220, , , 
40.4853814,-80.0134552,Venture Street,15214,222, , , 
40.4853635,-80.0133528,Venture Street,15214,226, , , 
40.4853558,-80.0133084,Venture Street,15214,228, , , 
40.4853541,-80.0112957,Venture Street,15214,416, , , 
40.4853562,-80.0112335,Venture Street,15214,418, , , 
40.4853578,-80.0111867,Venture Street,15214,420, , , 
