lat,lon,street,postcode,housenumber,city,state,country
40.4941296,-80.0001607,Villa Drive,15214,141, , , 
40.4953541,-80.0001527,Villa Drive,15214,105, , , 
40.4948151,-80.0001092,Villa Drive,15214,114, , , 
40.495311,-80.0000944,Villa Drive,15214,107, , , 
40.4941422,-80.0000069,Villa Drive,15214,139, , , 
40.4952585,-79.9999564,Villa Drive,15214,109, , , 
40.4951544,-79.999759,Villa Drive,15214,113, , , 
40.4942118,-79.999756,Villa Drive,15214,135, , , 
40.4951091,-79.9997036,Villa Drive,15214,115, , , 
40.494252,-79.9996836,Villa Drive,15214,133, , , 
40.4943976,-79.9995216,Villa Drive,15214,129, , , 
40.4941986,-80.0017625,Villa Drive,15214,167, , , 
40.494416,-80.0017399,Villa Drive,15214,166, , , 
40.4945802,-80.0014839,Villa Drive,15214,162, , , 
40.4945933,-80.0014031,Villa Drive,15214,160, , , 
40.4941442,-80.0011985,Villa Drive,15214,159, , , 
40.4945307,-80.0011485,Villa Drive,15214,156, , , 
40.4945157,-80.001002,Villa Drive,15214,154, , , 
40.4941032,-80.0009666,Villa Drive,15214,155, , , 
40.4955326,-80.0008848,Villa Drive,15214,102, , , 
40.4940969,-80.0008772,Villa Drive,15214,153, , , 
40.4941108,-80.0007144,Villa Drive,15214,151, , , 
40.4941189,-80.0004812,Villa Drive,15214,147, , , 
40.494123,-80.0003972,Villa Drive,15214,145, , , 
40.4955222,-80.0003212,Villa Drive,15214,101, , , 
40.4949195,-80.000318,Villa Drive,15214,110, , , 
40.4945186,-80.0002611,Villa Drive,15214,142, , , 
40.4948613,-80.0001884,Villa Drive,15214,112, , , 
40.4945184,-80.0001719,Villa Drive,15214,140, , , 
