lat,lon,street,postcode,housenumber,city,state,country
40.4607109,-79.9068208,Washington Boulevard,15206,911, , , 
40.4611967,-79.906493,Washington Boulevard,15206,937, , , 
40.4615527,-79.9062236,Washington Boulevard,15206,967, , , 
40.4618015,-79.9054263,Washington Boulevard,15206,970, , , 
40.461809,-79.9060075,Washington Boulevard,15206,981, , , 
40.4619079,-79.9059499,Washington Boulevard,15206,985, , , 
40.463364,-79.9056289,Washington Boulevard,15206,1006, , , 
40.4634032,-79.905658,Washington Boulevard,15206,1008, , , 
40.4644706,-79.9071071,Washington Boulevard,15206,1101, , , 
40.4650899,-79.9075281,Washington Boulevard,15206,1117, , , 
40.465327,-79.9077842,Washington Boulevard,15206,1127, , , 
40.4657588,-79.9079554,Washington Boulevard,15206,1141, , , 
40.4661523,-79.9082301,Washington Boulevard,15206,1201, , , 
40.4665292,-79.9085607,Washington Boulevard,15206,1225, , , 
40.4677819,-79.9091164,Washington Boulevard,15206,1305, , , 
40.4684668,-79.9091264,Washington Boulevard,15206,1315, , , 
