lat,lon,street,postcode,housenumber,city,state,country
40.4780514,-80.0103952,Watson Boulevard,15214,26, , , 
40.4810042,-80.0101605,Watson Boulevard,15214,124, , , 
40.4811155,-80.0101444,Watson Boulevard,15214,130, , , 
40.4811901,-80.0101361,Watson Boulevard,15214,134, , , 
40.4812289,-80.010132,Watson Boulevard,15214,136, , , 
40.4813054,-80.0101234,Watson Boulevard,15214,140, , , 
40.4825762,-80.009604,Watson Boulevard,15214,167, , , 
40.4788962,-80.0095705,Watson Boulevard,15214,55, , , 
40.4800902,-80.0094714,Watson Boulevard,15214,98, , , 
40.4796684,-80.0090613,Watson Boulevard,15214,72, , , 
40.4788967,-80.0094904,Watson Boulevard,15214,57, , , 
40.4795666,-80.0090597,Watson Boulevard,15214,74, , , 
40.4796411,-80.0090827,Watson Boulevard,15214,76, , , 
40.4797014,-80.0091171,Watson Boulevard,15214,78, , , 
40.479747,-80.009115,Watson Boulevard,15214,80, , , 
40.4798788,-80.0092579,Watson Boulevard,15214,86, , , 
40.4839792,-80.0104102,Watson Boulevard,15214,214, , , 
40.4841073,-80.0105277,Watson Boulevard,15214,218, , , 
40.4841575,-80.0105999,Watson Boulevard,15214,220, , , 
40.4844166,-80.0127674,Watson Boulevard,15214,266, , , 
40.4844534,-80.0130923,Watson Boulevard,15214,272, , , 
40.4845076,-80.0120893,Watson Boulevard,15214,250, , , 
40.4844195,-80.0130584,Watson Boulevard,15214,270, , , 
