lat,lon,street,postcode,housenumber,city,state,country
40.4745901,-79.926193,Wellesley Avenue,15206,5545, , , 
40.4760681,-79.9303955,Wellesley Avenue,15206,5311, , , 
40.4760895,-79.9304962,Wellesley Avenue,15206,5307, , , 
40.4727271,-79.9198375,Wellesley Avenue,15206,5933, , , 
40.4726459,-79.9191071,Wellesley Avenue,15206,6011, , , 
40.4726295,-79.9190436,Wellesley Avenue,15206,6015, , , 
40.4726192,-79.9188575,Wellesley Avenue,15206,6019, , , 
40.4733663,-79.9230815,Wellesley Avenue,15206,5710, , , 
40.4734096,-79.9232173,Wellesley Avenue,15206,5704, , , 
40.4749827,-79.9270736,Wellesley Avenue,15206,5517, , , 
40.4761281,-79.9304025,Wellesley Avenue,15206,5309, , , 
