lat,lon,street,postcode,housenumber,city,state,country
40.4030385,-80.0327583,Wenzell Avenue,15216,2239, , , 
40.3994616,-80.0301059,Wenzell Avenue,15216,2450, , , 
40.3994336,-80.0300529,Wenzell Avenue,15216,2452, , , 
40.3993375,-80.0298679,Wenzell Avenue,15216,2456, , , 
40.3993124,-80.02982,Wenzell Avenue,15216,2458, , , 
40.3992241,-80.0296633,Wenzell Avenue,15216,2464, , , 
40.3991636,-80.0295826,Wenzell Avenue,15216,2468, , , 
40.3991369,-80.0295314,Wenzell Avenue,15216,2470, , , 
40.3990971,-80.0294169,Wenzell Avenue,15216,2474, , , 
40.3990696,-80.0293643,Wenzell Avenue,15216,2476, , , 
40.3992441,-80.0297114,Wenzell Avenue,15216,2462, , , 
40.3982569,-80.0280499,Wenzell Avenue,15216,2546, , , 
40.3984884,-80.0283566,Wenzell Avenue,15216,2536, , , 
40.3986258,-80.0274209,Wenzell Avenue,15216,2557, , , 
40.3986696,-80.0274414,Wenzell Avenue,15216,2555, , , 
40.4052572,-80.0337744,Wenzell Avenue,15216,707, , , 
40.4053045,-80.0337724,Wenzell Avenue,15216,709, , , 
