lat,lon,street,postcode,housenumber,city,state,country
40.399116,-80.0306581,Wenzell Place,15216,22, , , 
40.3990696,-80.0306429,Wenzell Place,15216,24, , , 
40.3987811,-80.0303455,Wenzell Place,15216,38, , , 
40.3987303,-80.030334,Wenzell Place,15216,40, , , 
40.3984387,-80.0300418,Wenzell Place,15216,50, , , 
40.398407,-80.0300182,Wenzell Place,15216,52, , , 
40.3984565,-80.0289174,Wenzell Place,15216,78, , , 
40.3984951,-80.0288842,Wenzell Place,15216,80, , , 
40.3988516,-80.0291684,Wenzell Place,15216,87, , , 
40.3988876,-80.029152,Wenzell Place,15216,89, , , 
