lat,lon,street,postcode,housenumber,city,state,country
40.4665463,-80.0121455,West Burgess Street,15214,219,Pittsburgh,PA,US
40.4668956,-80.0121306,West Burgess Street,15214,214,Pittsburgh,PA,US
40.4669828,-80.0118556,West Burgess Street,15214,204,Pittsburgh,PA,US
40.4667397,-80.011575,West Burgess Street,15214,207,Pittsburgh,PA,US
40.4667689,-80.0114747,West Burgess Street,15214,205,Pittsburgh,PA,US
40.4667855,-80.0114341,West Burgess Street,15214,203,Pittsburgh,PA,US
40.4673822,-80.0101648,West Burgess Street,15214,37,Pittsburgh,PA,US
40.464897,-80.0166337,West Burgess Street,15214,607,Pittsburgh,PA,US
40.4655337,-80.0160939,West Burgess Street,15214,526,Pittsburgh,PA,US
40.4655366,-80.0160005,West Burgess Street,15214,524,Pittsburgh,PA,US
40.4657261,-80.0158458,West Burgess Street,15214,520,Pittsburgh,PA,US
40.4653747,-80.0155601,West Burgess Street,15214,517,Pittsburgh,PA,US
40.4653946,-80.01551,West Burgess Street,15214,515,Pittsburgh,PA,US
40.4660288,-80.0154882,West Burgess Street,15214,508,Pittsburgh,PA,US
40.4659341,-80.0150532,West Burgess Street,15214,414,Pittsburgh,PA,US
40.4656433,-80.0147727,West Burgess Street,15214,411,Pittsburgh,PA,US
