lat,lon,street,postcode,housenumber,city,state,country
40.4701474,-79.8909735,Westmoreland Avenue,15206,1638, , , 
40.4703948,-79.8908986,Westmoreland Avenue,15206,1646, , , 
40.4705186,-79.8907505,Westmoreland Avenue,15206,1652, , , 
40.4706362,-79.8906557,Westmoreland Avenue,15206,1656, , , 
40.4707527,-79.8905645,Westmoreland Avenue,15206,1662, , , 
40.4708137,-79.8905024,Westmoreland Avenue,15206,1664, , , 
40.4690399,-79.8931106,Westmoreland Avenue,15206,1546, , , 
40.4691234,-79.8930528,Westmoreland Avenue,15206,1554, , , 
40.4692216,-79.8928165,Westmoreland Avenue,15206,1562, , , 
40.4692664,-79.8926371,Westmoreland Avenue,15206,1566, , , 
40.4692784,-79.8926011,Westmoreland Avenue,15206,1564, , , 
40.469359,-79.8932994,Westmoreland Avenue,15206,1551, , , 
40.469363,-79.8924061,Westmoreland Avenue,15206,1574, , , 
40.4673198,-79.8946414,Westmoreland Avenue,15206,7153, , , 
40.4674533,-79.8943771,Westmoreland Avenue,15206,1223, , , 
40.4695441,-79.8918204,Westmoreland Avenue,15206,1610, , , 
40.4696233,-79.8926721,Westmoreland Avenue,15206,1571, , , 
40.4696407,-79.893304,Westmoreland Avenue,15206,1557, , , 
40.4697036,-79.8915371,Westmoreland Avenue,15206,1618, , , 
40.4698414,-79.8913467,Westmoreland Avenue,15206,1624, , , 
40.4699936,-79.8911635,Westmoreland Avenue,15206,1630, , , 
40.4700475,-79.8919011,Westmoreland Avenue,15206,1617, , , 
40.4700685,-79.8916598,Westmoreland Avenue,15206,1621, , , 
40.4700722,-79.8911336,Westmoreland Avenue,15206,1634, , , 
40.4702303,-79.8915071,Westmoreland Avenue,15206,1629, , , 
40.4703725,-79.8914059,Westmoreland Avenue,15206,1635, , , 
40.4704842,-79.8913031,Westmoreland Avenue,15206,1641, , , 
40.467823,-79.8942029,Westmoreland Avenue,15206,1304, , , 
40.4678617,-79.8946798,Westmoreland Avenue,15206,1311, , , 
40.4680095,-79.8947953,Westmoreland Avenue,15206,1405, , , 
40.4680745,-79.8944141,Westmoreland Avenue,15206,1400, , , 
40.4681175,-79.8948774,Westmoreland Avenue,15206,1409, , , 
40.4682939,-79.8945149,Westmoreland Avenue,15206,1502, , , 
40.4686034,-79.8950899,Westmoreland Avenue,15206,1512, , , 
40.4686829,-79.8945211,Westmoreland Avenue,15206,1511, , , 
40.4687305,-79.8944576,Westmoreland Avenue,15206,1515, , , 
40.468772,-79.8943931,Westmoreland Avenue,15206,1517, , , 
40.468862,-79.8942511,Westmoreland Avenue,15206,1521, , , 
40.468906,-79.894187,Westmoreland Avenue,15206,1523, , , 
40.4689588,-79.8941258,Westmoreland Avenue,15206,1525, , , 
40.4690451,-79.8939862,Westmoreland Avenue,15206,1529, , , 
40.4678791,-79.8942605,Westmoreland Avenue,15206,1306, , , 
