lat,lon,street,postcode,housenumber,city,state,country
40.4709095,-79.8943845,Wiltsie Street,15206,7155, , , 
40.4715541,-79.8960959,Wiltsie Street,15206,7100, , , 
40.4716321,-79.8954243,Wiltsie Street,15206,7115, , , 
40.4717084,-79.8955306,Wiltsie Street,15206,7111, , , 
40.4717398,-79.8962363,Wiltsie Street,15206,7028, , , 
40.4717778,-79.8956558,Wiltsie Street,15206,7107, , , 
40.4718569,-79.8957561,Wiltsie Street,15206,7103, , , 
40.4721188,-79.8960866,Wiltsie Street,15206,7019, , , 
40.4722008,-79.8961366,Wiltsie Street,15206,7017, , , 
40.4722658,-79.8961804,Wiltsie Street,15206,7015, , , 
40.4715457,-79.8953316,Wiltsie Street,15206,7119, , , 
40.4713669,-79.8950563,Wiltsie Street,15206,7131, , , 
40.470842,-79.8950651,Wiltsie Street,15206,7140, , , 
40.4707713,-79.8949528,Wiltsie Street,15206,7144, , , 
40.4711202,-79.89469,Wiltsie Street,15206,7145, , , 
40.4709085,-79.8943823,Wiltsie Street,15206,7153, , , 
40.4708483,-79.8942628,Wiltsie Street,15206,7157, , , 
40.4705546,-79.8945983,Wiltsie Street,15206,7158, , , 
40.4707617,-79.894168,Wiltsie Street,15206,7161, , , 
40.470623,-79.893945,Wiltsie Street,15206,7169, , , 
40.4719081,-79.8963977,Wiltsie Street,15206,7020, , , 
40.4727444,-79.8971571,Wiltsie Street,15206,6936, , , 
40.4729984,-79.8968002,Wiltsie Street,15206,6939, , , 
40.4730105,-79.896582,Wiltsie Street,15206,6941, , , 
40.4730663,-79.8973151,Wiltsie Street,15206,6926, , , 
40.4731737,-79.896946,Wiltsie Street,15206,6931, , , 
40.4732822,-79.8970329,Wiltsie Street,15206,6927, , , 
40.4738987,-79.897471,Wiltsie Street,15206,6903, , , 
40.4736042,-79.8972715,Wiltsie Street,15206,6915, , , 
40.4735136,-79.8972096,Wiltsie Street,15206,6919, , , 
40.473338,-79.8970857,Wiltsie Street,15206,6925, , , 
40.4732226,-79.8969853,Wiltsie Street,15206,6929, , , 
40.472802,-79.8966462,Wiltsie Street,15206,6947, , , 
40.4722014,-79.8966069,Wiltsie Street,15206,7008, , , 
40.4723528,-79.8963022,Wiltsie Street,15206,7011, , , 
