lat,lon,street,postcode,housenumber,city,state,country
40.4634133,-79.9109699,Winfield Street,15206,529, , , 
40.4634738,-79.9103201,Winfield Street,15206,542, , , 
40.4638648,-79.9102754,Winfield Street,15206,551, , , 
40.4645446,-79.9085155,Winfield Street,15206,632, , , 
40.4629374,-79.9116905,Winfield Street,15206,501, , , 
40.4629815,-79.9116258,Winfield Street,15206,503, , , 
40.463023,-79.9115642,Winfield Street,15206,505, , , 
40.4631091,-79.9114221,Winfield Street,15206,509, , , 
40.4631656,-79.9113815,Winfield Street,15206,511, , , 
40.4629373,-79.9111085,Winfield Street,15206,512, , , 
40.4630081,-79.9110073,Winfield Street,15206,516, , , 
40.4632102,-79.9113182,Winfield Street,15206,515, , , 
40.4633254,-79.911103,Winfield Street,15206,523, , , 
