lat,lon,street,postcode,housenumber,city,state,country
40.4617531,-79.9092267,Winslow Street,15206,6534, , , 
40.4619195,-79.9094014,Winslow Street,15206,6528, , , 
40.4631525,-79.9107581,Winslow Street,15206,6428, , , 
40.4629784,-79.9105454,Winslow Street,15206,6434, , , 
40.462594,-79.9101445,Winslow Street,15206,6504, , , 
40.4624883,-79.9100264,Winslow Street,15206,6508, , , 
40.4627391,-79.9098288,Winslow Street,15206,6505, , , 
40.4632,-79.9108171,Winslow Street,15206,6426, , , 
40.4633979,-79.9105172,Winslow Street,15206,6427, , , 
40.4650351,-79.9122619,Winslow Street,15206,130, , , 
40.463821,-79.9118693,Winslow Street,15206,164, , , 
40.4642475,-79.9119939,Winslow Street,15206,160, , , 
40.4644034,-79.9116013,Winslow Street,15206,161, , , 
40.4644324,-79.9117406,Winslow Street,15206,159, , , 
40.4644576,-79.9117573,Winslow Street,15206,157, , , 
40.4644809,-79.9121847,Winslow Street,15206,150, , , 
40.4647546,-79.9120439,Winslow Street,15206,147, , , 
40.4647845,-79.9118831,Winslow Street,15206,149, , , 
40.4647898,-79.9121134,Winslow Street,15206,145, , , 
40.4648181,-79.9126133,Winslow Street,15206,136, , , 
40.4648496,-79.9121602,Winslow Street,15206,143, , , 
40.464894,-79.9122088,Winslow Street,15206,141, , , 
40.4646505,-79.9119565,Winslow Street,15206,6353, , , 
40.4646122,-79.9119067,Winslow Street,15206,6355, , , 
40.4645405,-79.911816,Winslow Street,15206,6357, , , 
40.4636029,-79.9112718,Winslow Street,15206,6406, , , 
40.4635715,-79.9112597,Winslow Street,15206,6408, , , 
40.4635384,-79.9112083,Winslow Street,15206,6410, , , 
40.463505,-79.9111752,Winslow Street,15206,6412, , , 
